actor	A Bronx Tale	Sauchelli Jr., Alfred	Bobby Bars
actor	A Bronx Tale	Simmons, Derrick	Angry Neighbor
actor	A Bronx Tale	Tanuzzo Jr., John	Satan's Messengers
actor	A Bronx Tale	Thomas, Rhaman	Doo Wop Group
actor	A Bronx Tale	Vacaro, Pat	Capo
actor	A Bronx Tale	Vanaria, Louis	Crazy Mario
actor	A Bronx Tale	Velazquez, Johnny	Jockey
actor	A Bronx Tale	Wahhab, Ali A.	Angry Neighbor
actor	A Bronx Tale	Webber, Demond	Doo Wop Group
movie	A League of Their Own	1992
director	A League of Their Own	Marshall, Penny
actress	A League of Their Own	Adlard, Shelly	Additional Player
actress	A League of Their Own	Allen, Rae	Ma Keller
actress	A League of Their Own	Anderson, Eunice	Older Mae
actress	A League of Their Own	Baron, Blaire	Margaret
actress	A League of Their Own	Brailsford, Pauline	Miss Cuthbert
actress	A League of Their Own	Burkovich, Shirley	Older Alice
actress	A League of Their Own	Buse, Vickie	Additional Player
actress	A League of Their Own	Butler, Kathleen	Older Kit
actress	A League of Their Own	Carr, K.C.	Additional Player
actress	A League of Their Own	Cartwright, Lynn	Older Dottie
actress	A League of Their Own	Cavanagh, Megan	Marla Hooch - 2nd Base
actress	A League of Their Own	Coleman, Ren�e	Alice Gaspers - Left Field/Center Field
actress	A League of Their Own	Collins, Larissa	Charm School Assistant
actress	A League of Their Own	Cronin, Laurel	Maida Gillespie
actress	A League of Their Own	Croteau, Julie	Additional Player
actress	A League of Their Own	Cusack, Ann	Shirley Baker - Left Field
actress	A League of Their Own	Davis, Geena	Dottie Hinson
actress	A League of Their Own	Dries, Dolores 'Pickles'	Lady in Bleachers
actress	A League of Their Own	Erwin, Barbara	Older Shirley
actress	A League of Their Own	Ferrari, Brenda	Racine Catcher
actress	A League of Their Own	Gretick, Kirsten	Additional Player
actress	A League of Their Own	Gustaferro, Stacey	Additional Player
actress	A League of Their Own	Hand, Lisa	Additional Player
actress	A League of Their Own	Hodgen, Joette	Opera Singer
actress	A League of Their Own	Johnson, Vera	Older Doris
actress	A League of Their Own	Jones, Cheryl	Additional Player
actress	A League of Their Own	Jones, Janet	Racine Pitcher
actress	A League of Their Own	Knight, Robin	'Beans' Babbitt - Shortstop
actress	A League of Their Own	Koch, Tonya Gilles	Additional Player
actress	A League of Their Own	Leoni, T�a	Racine 1st Base
actress	A League of Their Own	Madonna	Mae Mordabito
actress	A League of Their Own	Marshall, Kathleen	'Mumbles' Brockman - Outfield
actress	A League of Their Own	McLin, Eugenia	Older Ellen Sue
actress	A League of Their Own	Miller, Betty	Older Betty
actress	A League of Their Own	Niemeyer, Shelly	Additional Player
actress	A League of Their Own	O'Donnell, Rosie	Doris Murphy - 3rd Base
actress	A League of Their Own	Pelton, Patti	Marbleann Wilkenson - 2nd Base
actress	A League of Their Own	Petty, Lori	Kit Keller
actress	A League of Their Own	Pilavin, Barbara	Older Helen
actress	A League of Their Own	Pounds-Taylor, Connie	Connie Calhoun - Outfield
actress	A League of Their Own	Ramsay, Anne	Helen Haley - 1st Base
actress	A League of Their Own	Reiner, Tracy	Betty 'Betty Spaghetti' Horn - Left Field
actress	A League of Their Own	Rutherford, Sally	Additional Player
actress	A League of Their Own	Schmitt, Lita	Additional Player
actress	A League of Their Own	Schram, Bitty	Evelyn Gardner - Right Field
actress	A League of Their Own	Simpkins, Kelli	Beverly Dixon - Outfield
actress	A League of Their Own	Simpson, Freddie	Ellen Sue Gotlander - Shortstop/Pitcher
actress	A League of Their Own	Szmidt, Sharon	Vivian Ernst - 2nd Base
actress	A League of Their Own	Walker, Amanda	Additional Player
actress	A League of Their Own	Watson, Brenda	Additional Player
actress	A League of Their Own	Weingardt, Ellie	Charm School Instructor
actress	A League of Their Own	Wilson, Patricia	Older Marla
actor	A League of Their Own	Blakeslee, Douglas	Doris' Fan #1
